['2020-02-25 11:21:06', '2020-02-25 11:29:59', '533.000', '192.168.250.3', '23.226.231.226', '80', '3682', 'TCP', '.A..S.', '0', '0', '13', '572', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:29:30', '2020-02-25 11:30:01', '31.580', '192.168.250.3', '23.226.231.226', '80', '28857', 'TCP', '.A..S.', '0', '0', '7', '308', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:30:07', '2020-02-25 11:30:07', '0.000', '192.168.250.3', '192.168.250.1', '25727', '53', 'UDP', '......', '0', '0', '2', '142', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:30:07', '2020-02-25 11:30:07', '0.000', '192.168.250.1', '192.168.250.3', '53', '25727', 'UDP', '......', '0', '0', '2', '322', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:30:07', '2020-02-25 11:30:07', '0.000', '192.168.250.3', '192.168.250.1', '30193', '53', 'UDP', '......', '0', '0', '2', '124', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:30:07', '2020-02-25 11:30:07', '0.000', '192.168.250.1', '192.168.250.3', '53', '30193', 'UDP', '......', '0', '0', '2', '124', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:30:07', '2020-02-25 11:30:07', '0.000', '192.168.250.3', '192.168.250.1', '60435', '53', 'UDP', '......', '0', '0', '2', '140', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:30:07', '2020-02-25 11:30:07', '0.000', '192.168.250.1', '192.168.250.3', '53', '60435', 'UDP', '......', '0', '0', '2', '140', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:29:43', '2020-02-25 11:30:14', '31.460', '192.168.250.3', '23.226.231.226', '80', '16066', 'TCP', '.A..S.', '0', '0', '7', '308', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:30:07', '2020-02-25 11:30:18', '11.090', '192.168.250.3', '92.118.38.58', '25', '38220', 'TCP', '.A..S.', '0', '0', '12', '972', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
['2020-02-25 11:21:19', '2020-02-25 11:30:20', '541.690', '192.168.250.3', '23.226.231.226', '80', '56426', 'TCP', '.A..S.', '0', '0', '13', '572', '0', '0', '1', '4', '0', '0', '0', '0', '0', '0', '0.0.0.0', '0.0.0.0', '0', '0', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '00:00:00:00:00:00', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '0-0-0', '    0.000', '    0.000', '    0.000', '0.0.0.0', '0/0', '1', '1970-01-01 03:00:00.000']
